Subject,trial,Training,easy_trial,RT_Easy,APA_Easy,medium_trial,RT_medium,APA_medium,diff_trial,RT_diff,APA_diff
1,1,ipad,2R,0.09,0.98,3L,0.07,0.74,6R,1.12,0.88
1,2,ipad,1R,0.14,0.42,4L,0.37,0.33,5L,1.21,0.32
1,3,ipad,2L,0.04,0.59,4R,0.51,0.4,5R,0.78,0.41
1,4,ipad,1R,0,0.58,3R,0.24,1.5,6L,1.16,0.41
1,5,ipad,1L,0,0.62,4R,0.21,0.65,6R,1.24,0.47
1,6,ipad,2R,0.1,0.59,3R,0.24,0.52,6L,1.12,0.39
1,7,ipad,2L,0.08,0.51,4R,0.79,0.39,5R,0.75,0.45
1,8,ipad,1R,0.13,0.43,4L,0.87,0.75,5L,0.95,0.62
1,9,ipad,2R,0.01,0.73,3L,0.42,0.53,6R,0.97,1.08
1,10,ipad,1L,0.08,0.44,4L,0.39,0.44,5R,0.92,0.44
1,11,ipad,2L,0.07,0.54,3L,0.57,0.45,6R,1.19,0.5
1,12,ipad,1L,0.08,0.49,4L,0.58,0.46,5L,0.86,0.61
1,13,ipad,2L,0.13,0.45,4R,0.26,0.61,5R,1.08,0.45
1,14,ipad,1R,0.04,0.47,3R,0.32,0.44,6L,1.2,0.43
1,15,ipad,2R,0.18,0.44,3L,0.45,0.45,5L,0.95,0.5
1,16,ipad,1L,0.08,0.47,3R,1.02,0.89,6L,1.06,0.47
1,17,ipad,2L,0.16,0.41,4R,0.38,0.49,5R,0.98,0.49
1,18,ipad,1R,0.22,0.43,4L,0.42,0.51,5L,1,0.57
1,19,ipad,2R,0.08,0.73,3L,0.61,0.43,6R,0.82,0.57
1,20,ipad,1L,0.04,0.41,3R,0.62,0.53,6L,1.14,0.4
4,1,ipad,2R,0.13,0.67,3L,0.07,0.43,6R,0.08,0.71
4,2,ipad,1R,0.14,0.43,4L,0.1,0.86,5L,0.05,0.46
4,3,ipad,2L,0,0.53,4R,0.1,0.64,5R,0.02,0.61
4,4,ipad,1R,0.13,0.45,3R,0.02,0.5,6L,0,0.56
4,5,ipad,1L,0.09,0.48,4R,0.01,0.55,6R,0.19,0.5
4,6,ipad,2R,0.08,0.51,3R,0.04,0.51,6L,0.11,0.74
4,7,ipad,2L,0.02,0.68,4R,0.11,0.44,5R,0.14,0.48
4,8,ipad,1R,0.15,0.63,4L,0.05,0.52,5L,0.36,0.26
4,9,ipad,2R,0.16,0.64,3L,0.08,0.29,6R,0.1,0.53
4,10,ipad,1L,0.09,0.4,4L,0.15,0.52,5R,0.1,0.4
4,11,ipad,2L,0.16,0.7,3L,0.39,0.39,6R,0.27,0.4
4,12,ipad,1L,0.17,0.46,4L,0.19,0.47,5L,0.04,0.56
4,13,ipad,2L,0.12,0.56,4R,0.09,1.07,5R,0.12,0.5
4,14,ipad,1R,0.16,0.31,3R,0.05,0.53,6L,0.19,0.5
4,15,ipad,2R,0.13,0.68,3L,0.07,0.38,5L,0.28,0.24
4,16,ipad,1L,0.42,0.2,3R,0.15,0.54,6L,0.09,0.5
4,17,ipad,2L,0.08,0.42,4R,0.35,0.43,5R,0.22,0.96
4,18,ipad,1R,0.08,0.47,4L,0.06,0.49,5L,0.18,0.3
4,19,ipad,2R,0.16,0.57,3L,0,0.47,6R,0.12,0.55
4,20,ipad,1L,0.07,0.53,3R,0.06,0.55,6L,0.13,0.51
5,1,ipad,2R,0.72,0.6,3L,0.39,0.52,6R,1.22,0.44
