Subject,RT_Easy,APA_Easy,RT_medium,APA_medium,RT_diff,APA_diff,NMT_easy,NMT_medium,NMT_difficult,Training
1,0.09,0.98,0.07,0.74,1.12,0.88,0.6599375,0.678383333,0.625108333,ipad
1,0.14,0.42,0.37,0.33,1.21,0.32,0.6856,0.65435625,0.63667,ipad
1,0.04,0.59,0.51,0.4,0.78,0.41,0.70265,0.6747125,0.59613,ipad
1,0,0.58,0.24,1.5,1.16,0.41,0.70415,0.67695,0.60125,ipad
1,0,0.62,0.21,0.65,1.24,0.47,0.70485,0.66161875,0.617633333,ipad
1,0.1,0.59,0.24,0.52,1.12,0.39,0.66705,0.69445,0.593958333,ipad
1,0.08,0.51,0.79,0.39,0.75,0.45,0.6730125,0.670475,0.624751,ipad
1,0.13,0.43,0.87,0.75,0.95,0.62,0.684325,0.69138125,0.651355,ipad
1,0.01,0.73,0.42,0.53,0.97,1.08,0.6694625,0.684966667,0.5877625,ipad
1,0.08,0.44,0.39,0.44,0.92,0.44,0.694675,0.6600125,0.632215,ipad
1,0.07,0.54,0.57,0.45,1.19,0.5,0.67355,0.667108333,0.615833333,ipad
1,0.08,0.49,0.58,0.46,0.86,0.61,0.657875,0.6769,0.6207845,ipad
1,0.13,0.45,0.26,0.61,1.08,0.45,0.6718375,0.6474125,0.62105,ipad
1,0.04,0.47,0.32,0.44,1.2,0.43,0.707975,0.673158333,0.587145833,ipad
1,0.18,0.44,0.45,0.45,0.95,0.5,0.6838375,0.68545,0.62628,ipad
1,0.08,0.47,1.02,0.89,1.06,0.47,0.683875,0.686016667,0.642208333,ipad
1,0.16,0.41,0.38,0.49,0.98,0.49,0.6741,0.66979375,0.62935,ipad
1,0.22,0.43,0.42,0.51,1,0.57,0.6913,0.64730625,0.64803,ipad
1,0.08,0.73,0.61,0.43,0.82,0.57,0.7047625,0.6661,0.6137125,ipad
1,0.04,0.41,0.62,0.53,1.14,0.4,0.675925,0.6750125,0.619929167,ipad
4,0.13,0.67,0.07,0.43,0.08,0.71,0.60065,0.6441,0.649116667,ipad
4,0.14,0.43,0.1,0.86,0.05,0.46,0.6492,0.649475,0.687,ipad
4,0,0.53,0.1,0.64,0.02,0.61,0.6338,0.6918,0.70496,ipad
4,0.13,0.45,0.02,0.5,0,0.56,0.6779,0.667033333,0.68825,ipad
4,0.09,0.48,0.01,0.55,0.19,0.5,0.6198,0.650025,0.696216667,ipad
4,0.08,0.51,0.04,0.51,0.11,0.74,0.5865,0.679,0.667883333,ipad
4,0.02,0.68,0.11,0.44,0.14,0.48,0.55195,0.666525,0.67992,ipad
4,0.15,0.63,0.05,0.52,0.36,0.26,0.6458,0.64165,0.73494,ipad
4,0.16,0.64,0.08,0.29,0.1,0.53,0.6024,0.673766667,0.6721,ipad
4,0.09,0.4,0.15,0.52,0.1,0.4,0.61615,0.667025,0.71008,ipad
4,0.16,0.7,0.39,0.39,0.27,0.4,0.60015,0.645466667,0.680233333,ipad
4,0.17,0.46,0.19,0.47,0.04,0.56,0.5989,0.667275,0.669658,ipad
4,0.12,0.56,0.09,1.07,0.12,0.5,0.6303,0.65715,0.68198,ipad
4,0.16,0.31,0.05,0.53,0.19,0.5,0.6343,0.700033333,0.566233333,ipad
4,0.13,0.68,0.07,0.38,0.28,0.24,0.6336,0.6983,0.69152,ipad
4,0.42,0.2,0.15,0.54,0.09,0.5,0.6311,0.724533333,0.7401,ipad
4,0.08,0.42,0.35,0.43,0.22,0.96,0.6718,0.70055,0.70434,ipad
4,0.08,0.47,0.06,0.49,0.18,0.3,0.6348,0.6751,0.70206,ipad
4,0.16,0.57,0,0.47,0.12,0.55,0.64765,0.666533333,0.678883333,ipad
4,0.07,0.53,0.06,0.55,0.13,0.51,0.6014,0.6915,0.700783333,ipad
5,0.72,0.6,0.39,0.52,1.22,0.44,0.61785,0.6841,0.5871,ipad
5,0.71,0.31,0.68,0.4,0.94,0.34,0.6723,0.6159,0.5993,ipad
5,0.51,0.61,0.82,0.42,1.04,0.61,0.66465,0.6334,0.4444,ipad
5,0.37,0.5,0.38,0.5,1.19,0.51,0.6733,0.663066667,0.451616667,ipad
5,0.36,0.6,0.81,0.57,1.19,0.51,0.7286,0.6415,0.528783333,ipad
5,0.38,0.46,0.33,0.57,0.84,0.53,0.6901,0.710833333,0.46415,ipad
5,0.11,0.82,0.66,0.55,0.13,1.24,0.65835,0.673625,0.50962,ipad
5,0.3,0.41,0.04,1.82,0.98,0.46,0.7206,0.799575,0.60402,ipad
5,0.28,0.48,0.31,0.7,1.05,0.59,0.701,0.667166667,0.456933333,ipad
5,0.1,0.5,0.73,0.66,0.11,1.08,0.7412,0.6513,0.56618,ipad
5,0.39,0.39,0.36,0.54,1.22,0.43,0.6788,0.666333333,0.550016667,ipad
5,0.1,0.62,0.59,0.48,0.78,0.4,0.7011,0.66605,0.57268,ipad
5,0.14,1.01,0.59,0.83,0.81,0.4,0.69865,0.625475,0.5496,ipad
5,0.23,0.55,0.48,0.41,1.25,0.33,0.7645,0.6848,0.5494,ipad
5,0.02,0.59,0.22,0.51,0.67,0.68,0.7006,0.699,0.56694,ipad
5,0.2,0.41,0.31,0.41,1.21,0.33,0.7261,0.647133333,0.585183333,ipad
5,0.33,0.44,0.44,0.44,0.83,0.41,0.7375,0.667075,0.57564,ipad
5,0.17,0.53,1.01,0.34,0.88,0.36,0.7322,0.616075,0.64372,ipad
